Uid,Sid,Tag,Key,Time,Value,UpdateTime
8278620265,default,daily_report,valid_stand,1737849600,"{""count"":7}",1738052749
8278620265,default,daily_report,valid_stand,1737936000,"{""count"":7}",1738052749
8278620265,default,daily_report,valid_stand,1738022400,"{""count"":8}",1738182543
8278620265,default,daily_report,valid_stand,1738108800,"{""count"":8}",1738258995
8278620265,default,daily_report,valid_stand,1738195200,"{""count"":11}",1738402908
8278620265,default,daily_report,valid_stand,1738281600,"{""count"":12}",1738402908
8278620265,default,daily_report,valid_stand,1738368000,"{""count"":12}",1738564486
8278620265,default,daily_report,valid_stand,1738454400,"{""count"":12}",1738564486
8278620265,default,daily_report,valid_stand,1738540800,"{""count"":10}",1738748205
8278620265,default,daily_report,valid_stand,1738627200,"{""count"":9}",1738748205
8278620265,default,daily_report,valid_stand,1738713600,"{""count"":11}",1738939360
8278620265,default,daily_report,valid_stand,1738800000,"{""count"":10}",1738939360
8278620265,default,daily_report,valid_stand,1738886400,"{""count"":10}",1739122380
8278620265,default,daily_report,valid_stand,1738972800,"{""count"":12}",1739122380
8278620265,default,daily_report,valid_stand,1739059200,"{""count"":11}",1739211011
8278620265,default,daily_report,valid_stand,1739145600,"{""count"":13}",1739640798
8278620265,default,daily_report,valid_stand,1739232000,"{""count"":14}",1739640802
8278620265,default,daily_report,valid_stand,1739318400,"{""count"":8}",1739640802
8278620265,default,daily_report,valid_stand,1739404800,"{""count"":6}",1739640801
8278620265,default,daily_report,valid_stand,1739491200,"{""count"":10}",1739640801
8278620265,default,daily_report,valid_stand,1739577600,"{""count"":7}",1740301299
8278620265,default,daily_report,valid_stand,1739664000,"{""count"":11}",1740301299
8278620265,default,daily_report,valid_stand,1739750400,"{""count"":9}",1740301297
8278620265,default,daily_report,valid_stand,1739836800,"{""count"":9}",1740301299
8278620265,default,daily_report,valid_stand,1739923200,"{""count"":13}",1740301298
8278620265,default,daily_report,valid_stand,1740009600,"{""count"":9}",1740301298
8278620265,default,daily_report,valid_stand,1740096000,"{""count"":14}",1740301298
8278620265,default,daily_report,valid_stand,1740182400,"{""count"":6}",1740301298
8278620265,default,daily_report,valid_stand,1740268800,"{""count"":11}",1741086434
8278620265,default,daily_report,valid_stand,1740355200,"{""count"":10}",1741086434
8278620265,default,daily_report,valid_stand,1740441600,"{""count"":10}",1741086434
8278620265,default,daily_report,valid_stand,1740528000,"{""count"":15}",1741086434
8278620265,default,daily_report,valid_stand,1740614400,"{""count"":13}",1741086441
8278620265,default,daily_report,valid_stand,1740700800,"{""count"":9}",1741086441
8278620265,default,daily_report,valid_stand,1740787200,"{""count"":14}",1741086441
8278620265,default,daily_report,valid_stand,1740873600,"{""count"":15}",1741086441
8278620265,default,daily_report,valid_stand,1740960000,"{""count"":16}",1741086441
8278620265,default,daily_report,valid_stand,1741046400,"{""count"":7}",1742412753
8278620265,default,daily_report,valid_stand,1741132800,"{""count"":11}",1742412753
8278620265,default,daily_report,valid_stand,1741219200,"{""count"":11}",1742412753
8278620265,default,daily_report,valid_stand,1741305600,"{""count"":15}",1742412753
8278620265,default,daily_report,valid_stand,1741392000,"{""count"":12}",1742412752
